0: n01440764: 丁鲷; tench, Tinca tinca
1: n01443537: 金鱼; goldfish, Carassius auratus
2: n01484850: 大白鲨; great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias
3: n01491361: 虎鲨; tiger shark, Galeocerdo cuvieri
4: n01494475: 双髻鲨; hammerhead, hammerhead shark
5: n01496331: 电鳐; electric ray, crampfish, numbfish, torpedo
6: n01498041: 刺魟; stingray
7: n01514668: 公鸡; cock
8: n01514859: 母鸡; hen
9: n01518878: 鸵鸟; ostrich, Struthio camelus
10: n01530575: 燕雀; brambling, Fringilla montifringilla
11: n01531178: 金翅雀; goldfinch, Carduelis carduelis
12: n01532829: 家朱雀; house finch, linnet, Carpodacus mexicanus
13: n01534433: 灯草鹀; junco, snowbird
14: n01537544: 靛蓝彩鹀; indigo bunting, indigo finch, indigo bird, Passerina cyanea
15: n01558993: 知更鸟; robin, American robin, Turdus migratorius
16: n01560419: 鹎; bulbul
17: n01580077: 松鸦; jay
18: n01582220: 喜鹊; magpie
19: n01592084: 山雀; chickadee
20: n01601694: 河乌; water ouzel, dipper
21: n01608432: 鸢; kite
22: n01614925: 白头海雕; bald eagle, American eagle, Haliaeetus leucocephalus
23: n01616318: 秃鹫; vulture
24: n01622779: 乌林鸮; great grey owl, great gray owl, Strix nebulosa
25: n01629819: 火蝾螈; European fire salamander, Salamandra salamandra
26: n01630670: 普通蝾螈; common newt, Triturus vulgaris
27: n01631663: 水蜥; eft
28: n01632458: 斑点钝口螈; spotted salamander, Ambystoma maculatum
29: n01632777: 美西螈; axolotl, mud puppy, Ambystoma mexicanum
30: n01641577: 牛蛙; bullfrog, Rana catesbeiana
31: n01644373: 树蛙; tree frog, tree-frog
32: n01644900: 尾蟾; tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
33: n01664065: 红海龟; loggerhead, loggerhead turtle, Caretta caretta
34: n01665541: 棱皮龟; leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea
35: n01667114: 泥龟; mud turtle
36: n01667778: 水龟; terrapin
37: n01669191: 箱龟; box turtle, box tortoise
38: n01675722: 带纹壁虎; banded gecko
